PE Feature Agreement, PE, PE+Occ, PE+LIME, PE+Nat
PE, 1, 0.230499999999999, 0.337, 0.398833333333333
PE+Occ, 0.230499999999999, 1, 0.291999999999999, 0.233857142857142
PE+LIME, 0.337, 0.291999999999999, 1, 0.317166666666666
PE+Nat, 0.398833333333333, 0.233857142857142, 0.317166666666666, 1
